timestamp,src_ip,dst_ip,attack 
1773485304.6111095,192.168.1.34,34.139.124.58,DoS
1773485305.6900022,192.168.1.34,57.144.43.32,DoS
1773485481.3828568,192.168.1.34,104.18.32.47,DoS
1773485481.6010783,192.168.1.34,104.18.32.47,DoS
1773485481.81536,192.168.1.34,104.18.32.47,DoS
1773485482.0624204,192.168.1.34,34.139.124.58,DoS
1773485482.09654,192.168.1.34,34.139.124.58,DoS
1773485482.1977048,192.168.1.34,140.82.114.26,DoS
1773485482.2225773,192.168.1.34,104.18.32.47,DoS
1773485482.3095937,192.168.1.34,34.139.124.58,DoS
1773485482.3289988,192.168.1.34,104.18.32.47,DoS
1773485482.395782,192.168.1.34,34.139.124.58,DoS
1773485482.4204092,192.168.1.34,34.139.124.58,DoS
1773485482.4843187,192.168.1.34,104.18.32.47,DoS
1773485482.7133672,192.168.1.34,104.18.32.47,DoS
1773485483.3066466,192.168.1.34,104.18.32.47,DoS
1773485483.6892958,192.168.1.34,20.44.10.123,DoS
1773485483.8637486,192.168.1.34,20.44.10.123,DoS
1773485483.9069963,192.168.1.34,20.44.10.123,DoS
1773485483.9263017,192.168.1.34,20.44.10.123,DoS
1773485483.9472902,192.168.1.34,104.18.32.47,DoS
1773485483.9696348,192.168.1.34,104.18.32.47,DoS
1773485484.0139627,192.168.1.34,104.18.32.47,DoS
1773485484.2041376,192.168.1.34,20.192.44.82,DoS
1773485484.28544,192.168.1.34,20.44.10.123,DoS
1773485484.3054748,192.168.1.34,20.44.10.123,DoS
1773485484.3289835,192.168.1.34,20.44.10.123,DoS
1773485484.3584898,192.168.1.34,34.139.124.58,DoS
1773485484.4849865,192.168.1.34,104.18.32.47,DoS
1773485484.5284681,192.168.1.34,20.44.10.123,DoS
1773485484.571661,192.168.1.34,20.44.10.123,DoS
1773485484.5919905,192.168.1.34,20.44.10.123,DoS
1773485484.6139808,192.168.1.34,20.44.10.123,DoS
1773485484.6364625,192.168.1.34,20.44.10.123,DoS
1773485484.6584392,192.168.1.34,20.44.10.123,DoS
1773485484.6952612,192.168.1.34,20.44.10.123,DoS
1773485484.7614484,192.168.1.34,34.139.124.58,DoS
1773485484.7826612,192.168.1.34,34.139.124.58,DoS
1773485485.0884802,192.168.1.34,20.44.10.123,DoS
1773485485.1071494,192.168.1.34,20.44.10.123,DoS
1773485485.1290724,192.168.1.34,20.44.10.123,DoS
1773485485.2469597,192.168.1.34,20.44.10.123,DoS
1773485485.2665179,192.168.1.34,20.44.10.123,DoS
1773485485.2915978,192.168.1.34,20.44.10.123,DoS
1773485485.3110547,192.168.1.34,172.64.155.209,DoS
1773485485.3909047,192.168.1.34,34.139.124.58,DoS
1773485485.4283268,192.168.1.34,172.64.155.209,DoS
1773485485.4541442,192.168.1.34,172.64.155.209,DoS
1773485485.4737372,192.168.1.34,34.139.124.58,DoS
1773485485.7298636,192.168.1.34,172.64.155.209,DoS
1773485485.7634637,192.168.1.34,20.44.10.123,DoS
1773485485.797045,192.168.1.34,172.64.155.209,DoS
1773485485.8426678,192.168.1.34,20.44.10.123,DoS
1773485485.9526405,192.168.1.34,172.64.155.209,DoS
1773485485.9736085,192.168.1.34,172.64.155.209,DoS
1773485486.000029,192.168.1.34,20.44.10.123,DoS
1773485486.0268729,192.168.1.34,20.44.10.123,DoS
1773485486.0764306,192.168.1.34,20.44.10.123,DoS
1773485486.1052084,192.168.1.34,35.186.224.35,DoS
1773485486.174083,192.168.1.34,104.18.32.47,DoS
1773485486.2003787,192.168.1.34,104.18.32.47,DoS
1773485486.2330475,192.168.1.34,104.18.32.47,DoS
1773485486.2659352,192.168.1.34,104.18.32.47,DoS
1773485486.2959294,192.168.1.34,104.18.32.47,DoS
1773485486.318275,192.168.1.34,104.18.32.47,DoS
1773485486.6838167,192.168.1.34,104.18.32.47,DoS
1773485486.703024,192.168.1.34,104.18.32.47,DoS
1773485486.8109803,192.168.1.34,104.18.32.47,DoS
1773485486.830809,192.168.1.34,104.18.32.47,DoS
1773485487.0138826,192.168.1.34,104.18.32.47,DoS
1773485487.0351906,192.168.1.34,104.18.32.47,DoS
1773485488.0130086,192.168.1.34,34.139.124.58,DoS
1773485488.0345986,192.168.1.34,34.139.124.58,DoS
1773485488.363588,192.168.1.34,104.18.32.47,DoS
1773485488.3934312,192.168.1.34,104.18.32.47,DoS
1773485488.4291728,192.168.1.34,104.18.32.47,DoS
1773485488.461448,192.168.1.34,104.18.32.47,DoS
1773485488.4927053,192.168.1.34,104.18.32.47,DoS
1773485488.5264053,192.168.1.34,104.18.32.47,DoS
1773485488.5534177,192.168.1.34,104.18.32.47,DoS
1773485488.584685,192.168.1.34,104.18.32.47,DoS
1773485488.6289327,192.168.1.34,20.44.10.123,DoS
1773485488.7164564,192.168.1.34,104.18.32.47,DoS
1773485488.7431881,192.168.1.34,104.18.32.47,DoS
1773485488.8117578,192.168.1.34,34.139.124.58,DoS
1773485488.9120076,192.168.1.34,34.139.124.58,DoS
1773485488.9602091,192.168.1.34,104.18.32.47,DoS
1773485489.000588,192.168.1.34,104.18.32.47,DoS
1773485489.043433,192.168.1.34,104.18.32.47,DoS
1773485489.380775,192.168.1.34,104.18.32.47,DoS
1773485489.4305632,192.168.1.34,104.18.32.47,DoS
1773485489.480161,192.168.1.34,142.251.222.110,DoS
1773485489.5198998,192.168.1.34,142.251.222.110,DoS
1773485489.5494728,192.168.1.34,142.251.222.110,DoS
1773485489.5782893,192.168.1.34,142.251.222.110,DoS
1773485489.9276187,192.168.1.34,142.251.222.110,DoS
1773485490.0208428,192.168.1.34,142.251.222.110,DoS
1773485490.1164944,192.168.1.34,142.251.222.110,DoS
1773485490.2593954,192.168.1.34,142.251.222.110,DoS
1773485490.3797455,192.168.1.34,142.251.222.110,DoS
